molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
CHEMBL1766792,CCS(=O)(=O)c1ccc(-c2cnc(N)c(C(=O)Nc3ccccc3)n2)cc1,intermediate,8000.0
CHEMBL1766793,CC(C)S(=O)(=O)c1ccc(-c2cnc(N)c(C(=O)Nc3ccccc3)n2)cc1,intermediate,8000.0
CHEMBL1766794,CCCS(=O)(=O)c1ccc(-c2cnc(N)c(C(=O)Nc3ccccc3)n2)cc1,intermediate,5400.0
CHEMBL1766795,CCC(C)S(=O)(=O)c1ccc(-c2cnc(N)c(C(=O)Nc3ccccc3)n2)cc1,intermediate,6600.0
CHEMBL1766796,CC(C)(C)S(=O)(=O)c1ccc(-c2cnc(N)c(C(=O)Nc3ccccc3)n2)cc1,intermediate,8000.0
CHEMBL1766797,CC(CN(C)C)S(=O)(=O)c1ccc(-c2cnc(N)c(C(=O)Nc3ccccc3)n2)cc1,intermediate,8000.0
CHEMBL1766798,CC(CCO)S(=O)(=O)c1ccc(-c2cnc(N)c(C(=O)Nc3ccccc3)n2)cc1,intermediate,8000.0
CHEMBL1766799,Nc1ncc(-c2ccc(S(=O)(=O)[C@@H]3CCOC3)cc2)nc1C(=O)Nc1ccccc1,intermediate,5000.0
CHEMBL1766800,CS(=O)(=O)c1ccc(-c2cnc(N)c(C(=O)NC3CCCCC3)n2)cc1,intermediate,8000.0
CHEMBL1766801,CS(=O)(=O)c1ccc(-c2cnc(N)c(-c3nc4ccccc4[nH]3)n2)cc1,active,380.0
CHEMBL1766802,CS(=O)(=O)c1ccc(-c2cnc(N)c(-c3nc4ccccc4o3)n2)cc1,active,840.0
CHEMBL1766803,CS(=O)(=O)c1ccc(-c2cnc(N)c(-c3nc4ccccc4s3)n2)cc1,active,720.0
CHEMBL1766804,CS(=O)(=O)c1ccc(-c2cnc(N)c(-c3cc4ccccc4[nH]3)n2)cc1,active,120.0
CHEMBL222102,O=c1cc(-c2cccc3c2Sc2ccccc2S3)oc(N2CCOCC2)c1,active,14.0
CHEMBL2181114,C=C1C(=O)OCC1(C(=O)OCC)C(=O)OCC,active,250.0
CHEMBL2181113,C=C1C(=O)OC[C@@H]1C(=O)N1Cc2cc3ccccc3nc2C1,active,600.0
CHEMBL2205766,CC(C)(C)NS(=O)(=O)c1cncc(-c2ccn3nc(N)nc3c2)c1,inactive,10000.0
CHEMBL2325697,C[C@@H]1COCCN1c1cc(C2(S(C)(=O)=O)CC2)nc(-c2cccc3[nH]ccc23)n1,inactive,30000.0
CHEMBL2396661,Cc1nc(NC(=O)N2CCC[C@H]2C(N)=O)sc1-c1ccnc(C(C)(C)C(F)(F)F)c1,inactive,10000.0
CHEMBL98350,O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12,inactive,10000.0
